Rank,Spanish,French,English,,Notes
1,de,de,of,,"1) This list was created using public/free subtitles, particularly from opensubtitles.org."
2,que,quoi,what,,The order is based on the number of occurences of each word in the subtitles.
3,no,ne pas,do not,,
4,a,à,to,,2) The English translation is by Google and can be un-reliable for some words.
5,la,le,the,,
6,el,le,the,,3) You can change the translation from English to another language.
7,y,Y,Y,,To do this you will first need to make a copy of this spreadsheet.  (File > Make a copy...)
8,es,est,is,,"Then replace the ""en"" in the function in the cells in Column C with your desired language code."
9,en,dans,in,,"e.g. Replace ""en"" with ""sv"" for Swedish."
10,lo,le,the,,List of supported languages:
11,un,une,a,,https://cloud.google.com/translate/v2/using_rest?hl=en#language-params
12,por,par,by,,
13,qué,que,than,,4) The original source of this list can be found here:
14,me,moi,me,,https://invokeit.wordpress.com/frequency-word-lists/
15,una,une,a,,
16,te,thé,tea,,5) It is licensed under the following Creative Commons license:
17,se,il,he,,http://creativecommons.org/licenses/by-sa/3.0/
18,los,le,the,,
19,con,avec,with,,6) More Most Common word lists (other languages) can be found here:
20,para,pour,for,,http://www.101languages.net/common-words/
21,mi,mon,my,,
22,está,est,is,,
23,si,Oui,yes,,
24,sí,Oui,yes,,
25,pero,mais,but,,
26,las,le,the,,
27,bien,d'accord,all right,,
28,yo,je,I,,
29,su,ses,its,,
30,eso,cette,that,,
31,aquí,ici,here,,
32,del,du,of the,,
33,al,au,to the,,
34,como,comme,as,,
35,le,vous,you,,
36,tu,vous,you,,
37,más,plus,plus,,
38,todo,tout,all,,
39,ya,déjà,already,,
40,muy,très,very,,
41,esto,ce,this,,
42,vamos,Allons,come on,,
43,ha,il a,he has,,
44,ahora,à présent,now,,
45,esta,est,is,,
46,hay,il y a,there are,,
47,estoy,je suis,I am,,
48,algo,quelque chose,something,,
49,tú,vous,you,,
50,tengo,j'ai,I have,,
51,así,A) Oui,A) Yes,,
52,nada,rien,nothing,,
53,nos,nous,us,,
54,cuando,quand,when,,
55,cómo,Comment,how,,
56,él,le,the,,
57,sé,il,he,,
58,estás,celles-ci,these,,
59,sólo,unique,single,,
60,o,ou,or,,
61,quiero,Je voudrais,I want,,
62,este,ce,this,,
63,tiene,a,has,,
64,gracias,Je vous remercie,Thank you,,
65,he,j'ai,I have,,
66,puedo,puis-je,may l,,
67,bueno,bien,good,,
68,soy,je suis,I am,,
69,era,était,was,,
70,ser,être,be,,
71,vez,temps,time,,
72,hacer,faire,do,,
73,todos,toutes les personnes,everyone,,
74,ella,elle,she,,
75,son,sont,are,,
76,fue,C'était,It was,,
77,eres,vous êtes,you are,,
78,usted,vous,you,,
79,tienes,as-tu,do you have,,
80,puede,pouvez,can,,
81,señor,Monsieur,Sir,,
82,ese,cette,that,,
83,voy,je vais,I go,,
84,quién,qui,who,,
85,casa,maison,home,,
86,creo,je pense,I think,,
87,porque,Pourquoi,why,,
88,tan,alors,so,,
89,favor,favoriser,favor,,
90,hola,Bonjour,Hello,,
91,dónde,où,where,,
92,nunca,jamais,never,,
93,sus,leur,their,,
94,sabes,tu sais,you know,,
95,dos,deux,two,,
96,verdad,vrai,true,,
97,quieres,tu veux,you want,,
98,mucho,beaucoup,much,,
99,entonces,alors,so,,
100,estaba,j'étais,I was,,
101,tiempo,Météo,weather,,
102,mí,mon,my,,
103,esa,cette,that,,
104,mejor,meilleur,best,,
105,hombre,homme,man,,
106,hace,faire,make,,
107,va,va,goes,,
108,dios,Dieu,God,,
109,también,ainsi que,as well,,
110,has,vous,you,,
111,vida,durée de vie,lifetime,,
112,sin,sans pour autant,without,,
113,están,est-il si,is it so,,
114,ver,regarder,watch,,
115,sr,m,Mr,,
116,siempre,pour toujours,forever,,
117,oh,Oh,oh,,
118,hasta,jusqu'à ce que,until,,
119,ti,vous,you,,
120,ahí,Là,there,,
121,siento,Je ressens,I feel,,
122,puedes,pouvez,can,,
123,decir,dire,tell,,
124,ni,ni,neither,,
125,sobre,sur,on,,
126,años,années,years,,
127,tenemos,on a,we have,,
128,uno,un,one,,
129,día,journée,day,,
130,noche,nuit,night,,
131,cosas,des choses,things,,
132,alguien,Quelqu'un,someone,,
133,antes,avant,before,,
134,mis,mon,my,,
135,ir,aller,to go,,
136,poco,un peu,little bit,,
137,otra,autre,other,,
138,quiere,veut,wants,,
139,solo,unique,single,,
140,nadie,personne,no one,,
141,nosotros,nous,we,,
142,padre,père,father,,
143,gente,personnes,people,,
144,parece,Il semble,It seems,,
145,dinero,argent,money,,
146,estar,être,to be,,
147,hecho,fait,fact,,
148,les,leur,them,,
149,mismo,même,same,,
150,sea,être,be,,
151,estamos,étaient,we're,,
152,mira,Regardez,look,,
153,pasa,passer,pass,,
154,trabajo,travail,work,,
155,dijo,Il a dit,He said,,
156,ellos,ils,they,,
157,vas,tu vas,you go,,
158,claro,Clair,Clear,,
159,mañana,Matin,morning,,
160,han,ils ont,they have,,
161,otro,autre,other,,
162,después,après,after,,
163,desde,puisque,since,,
164,mundo,monde,world,,
165,hablar,parler,talk,,
166,tal,tel,such,,
167,había,il y avait,there was,,
168,sabe,sait,knows,,
169,acuerdo,accord,agreement,,
170,momento,moment,moment,,
171,donde,où,where,,
172,fuera,à l'extérieur,outside,,
173,hijo,fils,son,,
174,podría,pourrait,might,,
175,seguro,sûr,safe,,
176,mujer,femme,woman,,
177,amigo,ami,friend,,
178,días,journées,days,,
179,madre,mère,mother,,
180,allí,Là,there,,
181,cosa,chose,thing,,
182,tus,votre,your,,
183,lugar,endroit,place,,
184,dice,Il dit,He says,,
185,gusta,comme,like,,
186,será,sera,will be,,
187,gran,génial,great,,
188,mierda,merde,shit,,
189,tenía,j'ai eu,I had,,
190,mamá,maman,mom,,
191,papá,père,father,,
192,espera,attendre,wait,,
193,hoy,aujourd'hui,today,,
194,tener,avoir,to have,,
195,ven,viens,come,,
196,buena,bien,good,,
197,estado,Etat,state,,
198,nuevo,Nouveau,new,,
199,luego,puis,then,,
200,podemos,nous pouvons,we can,,
201,tres,Trois,three,,
202,dije,m'a dit,said,,
203,nuestro,notre,our,,
204,sido,été,been,,
205,menos,Moins,less,,
206,debe,devrait,should,,
207,tipo,gentil,kind,,
208,buen,bien,good,,
209,conmigo,avec moi,with me,,
210,mal,faux,wrong,,
211,todas,tout,all,,
212,nombre,Prénom,first name,,
213,haciendo,Faire,doing,,
214,crees,tu penses,you think,,
215,toda,tout,all,,
216,amor,amour,love,,
217,mío,le mien,my own,,
218,visto,vu,viewed,,
219,estas,celles-ci,these,,
220,quería,voulait,wanted to,,
221,eh,Hey,Hey,,
222,tarde,en retard,late,,
223,importa,questions,matters,,
224,parte,partie,part,,
225,aún,encore,yet,,
226,nuestra,notre,our,,
227,tienen,ils ont,they have,,
228,tanto,tellement de,so much,,
229,cada,chaque,every,,
230,hora,heure,hour,,
231,veces,fois,times,,
232,necesito,j'ai besoin,I need,,
233,contigo,avec toi,with you,,
234,ve,aller,go,,
235,haber,avoir,to have,,
236,buenas,bien,good,,
237,dicho,en disant,saying,,
238,quien,qui,who,,
239,hacerlo,faire quoi,do what,,
240,demasiado,aussi,too,,
241,oye,Entend,hears,,
242,ah,ah,ah,,
243,haces,tu fais,you do,,
244,hombres,Pour des hommes,mens,,
245,saber,à savoir,to know,,
246,entre,entre,between,,
247,adiós,Au revoir,goodbye,,
248,problema,difficulté,trouble,,
249,unos,certains,some,,
250,vaya,aller,go,,
251,hemos,on a,we have,,
252,cierto,vrai,true,,
253,debo,Je dois,I must,,
254,razón,raison,reason,,
255,alguna,tout,any,,
256,esos,ceux,those,,
257,pues,bien,well,,
258,veo,je vois,I see,,
259,idea,idée,idea,,
260,chica,fille,girl,,
261,realmente,Vraiment,Really,,
262,policía,police,police,,
263,hizo,fait,did,,
264,estos,celles-ci,these,,
265,amigos,copains,friends,,
266,ustedes,votre,your,,
267,quizá,peut être,maybe,,
268,serio,sérieux,serious,,
269,cabeza,tête,head,,
270,hermano,frère,brother,,
271,digo,je dis,I say,,
272,van,aller,go,,
273,pasado,passé,past,,
274,salir,sortir,go out,,
275,cuenta,Compte,account,,
276,familia,famille,family,,
277,cariño,ma chérie,sweetie,,
278,vale,D'accord,OK,,
279,algún,certains,some,,
280,muchas,beaucoup,many,,
281,señora,Mme,Mrs,,
282,somos,nous sommes,we are,,
283,pueden,ils peuvent,they can,,
284,noches,nuits,nights,,
285,muerto,morte,dead,,
286,ud,Vous,You,,
287,todavía,encore,still,,
288,rápido,Rapide,Quick,,
289,viejo,vieux,old,,
290,lado,côté,side,,
291,debería,devrait,should,,
292,ves,tu vois,you see,,
293,sabía,je savais,I knew,,
294,suerte,la chance,luck,,
295,cuidado,Fais attention,watch out,,
296,buenos,bons,good ones,,
297,sería,serait,would be,,
298,da,donne,gives,,
299,mientras,Tandis que,While,,
300,miedo,peur,fear,,
301,primera,premier,first,,
302,contra,contre,against,,
303,puerta,porte,door,,
304,pronto,bientôt,soon,,
305,e,et,and,,
306,casi,presque,almost,,
307,nueva,Nouveau,new,,
308,espero,J'espère,I hope,,
309,cualquier,tout,any,,
310,esas,ceux,those,,
311,agua,L'eau,Water,,
312,os,vous,you,,
313,chico,garçon,boy,,
314,cuánto,combien,how much,,
315,niños,enfants,children,,
316,venga,Allons,come on,,
317,camino,route,road,,
318,primero,Premier,First,,
319,hacia,vers,toward,,
320,pensé,j'ai pensé,I thought,,
321,dentro,à l'intérieur,inside,,
322,pasó,Il a passé,He passed,,
323,debes,vous devez,you must,,
324,ciudad,ville,city,,
325,historia,l'histoire,history,,
326,año,année,year,,
327,viene,vient,comes,,
328,deja,laisser,let,,
329,durante,pendant,during,,
330,forma,forme,shape,,
331,volver,revenir,return,,
332,feliz,heureux,happy,,
333,ojos,les yeux,eyes,,
334,guerra,guerre,war,,
335,caso,Cas,case,,
336,chicos,Garçons,Boys,,
337,esposa,femme,wife,,
338,adelante,devant,ahead,,
339,cuál,lequel,which,,
340,mano,main,hand,,
341,hice,J'ai fait,I did,,
342,vi,vu,saw,,
343,gustaría,voudrais,would like,,
344,muerte,mort,death,,
345,allá,Là,there,,
346,mas,plus,more,,
347,loco,fou,crazy,,
348,supuesto,supposé,supposed,,
349,toma,prise,taking,,
350,minutos,minutes,minutes,,
351,haré,je ferai,I will do,,
352,entiendo,j'ai compris,I get it,,
353,pasar,se produire,happen,,
354,iba,j'allais,I was going,,
355,corazón,cœur,heart,,
356,semana,la semaine,week,,
357,jefe,patron,boss,,
358,venir,viens,come,,
359,manos,mains,hands,,
360,ayuda,Aidez-moi,help,,
361,problemas,problèmes,problems,,
362,juntos,ensemble,together,,
363,supongo,Je suppose,I suppose,,
364,déjame,laisse moi,let me,,
365,importante,important,important,,
366,vete,allez-vous en,go away,,
367,niño,enfant,child,,
368,arriba,au dessus de,above,,
369,hija,fille,daughter,,
370,otros,autres,others,,
371,sra,Mme,Mrs,,
372,personas,personnes,people,,
373,tierra,terre,land,,
374,manera,façon,way,,
375,hablando,parlant,talking,,
376,fin,terminer,finish,,
377,mujeres,femmes,women,,
378,cara,visage,face,,
379,grande,gros,big,,
380,ningún,tout,any,,
381,nuestros,notre,our,,
382,cinco,cinq,five,,
383,llama,appel,call,,
384,hey,Hey,hey,,
385,habla,parle,speaks,,
386,bajo,faible,low,,
387,dices,vous dites,you say,,
388,poder,Puissance,power,,
389,cuándo,quand,when,,
390,quizás,peut être,maybe,,
391,escucha,Écoutez,listen out,,
392,persona,la personne,person,,
393,horas,heures,hours,,
394,tío,oncle,uncle,,
395,aunque,même si,even though,,
396,io,io,io,,
397,único,seulement,only,,
398,dijiste,m'a dit,said,,
399,siquiera,au moins,at least,,
400,quieren,Ils veulent,they want,,
401,ninguna,tout,any,,
402,cerca,près,near,,
403,pequeño,petit,small,,
404,debemos,nous devons,we must,,
405,cree,Cree,cree,,
406,dame,donne moi,give to me,,
407,sigue,suivre,follow,,
408,auto,voiture,car,,
409,cuatro,quatre,four,,
410,dejar,laisser,leave,,
411,muchos,Beaucoup,Many,,
412,igual,même,same,,
413,hago,je fais,I make,,
414,listo,prêt,ready,,
415,significa,ça veut dire,it means,,
416,capitán,capitaine,captain,,
417,clase,classe,class,,
418,llegar,atteindre,reach,,
419,doctor,médecin,doctor,,
420,suficiente,suffisant,enough,,
421,tomar,boisson,drink,,
422,vivir,vivre,live,,
423,joven,Jeune,young,,
424,trabajar,travailler,to work,,
425,haya,hêtre,beech,,
426,abajo,vers le bas,down,,
427,hubiera,aurait,would,,
428,primer,premier,first,,
429,genial,cool,cool,,
430,justo,juste,fair,,
431,pensar,pense,think,,
432,misma,même,same,,
433,puta,chienne,bitch,,
434,comer,manger,eat,,
435,necesita,a besoin de,needs to,,
436,conozco,je connais,I know,,
437,fui,j'étais,I was,,
438,algunos,Certains,Some,,
439,entrar,entrer,get in,,
440,fuerte,fort,strong,,
441,número,nombre,number,,
442,srta,Mme,Ms,,
443,morir,mourir,die,,
444,basta,Suffisant,Enough,,
445,dar,donner,give,,
446,bastante,assez,quite,,
447,amo,amour,love,,
448,atrás,derrière,behind,,
449,dicen,ils disent,they say,,
450,difícil,difficile,hard,,
451,éste,ce,this,,
452,pueda,pouvez,can,,
453,punto,point,point,,
454,vino,du vin,wine,,
455,hermana,sœur,sister,,
456,hijos,enfants,children,,
457,unas,clou,nail,,
458,final,final,final,,
459,escuela,école,school,,
460,podía,je pouvais,I could,,
461,pueblo,village,village,,
462,haga,faire,make,,
463,sangre,du sang,blood,,
464,meses,mois,months,,
465,coche,voiture,car,,
466,juego,Jeu,game,,
467,encontrar,trouver,find,,
468,realidad,réalité,reality,,
469,cuerpo,corps,body,,
470,mayor,plus haute,higher,,
471,última,dernier,last,,
472,eran,ils étaient,they were,,
473,queda,restes,remains,,
474,ok,d'accord,okay,,
475,paz,paix,peace,,
476,dime,dîtes-moi,tell me,,
477,vuelta,revenir,return,,
478,hiciste,fait,did,,
479,tenido,eu,had,,
480,sola,seul,alone,,
481,hacen,faire,make,,
482,ido,disparu,gone,,
483,querida,chère,Dear,,
484,iré,j'irai,I will go,,
485,culpa,culpabilité,guilt,,
486,malo,mal,bad,,
487,chicas,filles,girls,,
488,comida,aliments,food,,
489,dólares,dollars,Dollars,,
490,dr,dr,dr,,
491,saben,ils savent,they know,,
492,fácil,facile,easy,,
493,alto,grand,tall,,
494,posible,possible,possible,,
495,maldito,damné,damned,,
496,dormir,sommeil,sleep,,
497,deberías,vous devriez,you should,,
498,maldita,Zut,damn,,
499,pregunta,Question,Question,,
500,incluso,même,even,,
501,fiesta,fête,party,,
502,tampoco,ni,neither,,
503,cama,lit,bed,,
504,lejos,loin,far,,
505,medio,"un moyen, moyenne","means, medium",,
506,preocupes,inquiéter,worry,,
507,ay,Oh,Oh,,
508,teléfono,téléphone,phone,,
509,diga,dire,tell,,
510,ei,ei,ei,,
511,trata,sur,about,,
512,equipo,équipe,team,,
513,palabra,mot,word,,
514,cuanto,combien,how much,,
515,idiota,idiot,moron,,
516,esté,ce,this,,
517,luz,lumière,light,,
518,tuve,j'ai eu,I had,,
519,país,pays,country,,
520,segundo,seconde,second,,
521,querido,chère,Dear,,
522,diablos,les diables,Devils,,
523,hagas,tu fais,you do,,
524,señorita,manquer,miss,,
525,oportunidad,opportunité,opportunity,,
526,matar,tuer,kill,,
527,algunas,certains,some,,
528,esperando,attendre,waiting,,
529,necesitamos,nous avons besoin,we need,,
530,adónde,où,where,,
531,verte,te voir,to see you,,
532,estará,sera,will be,,
533,venido,je viens,I come,,
534,estabas,vous étiez,you were,,
535,fueron,étaient,were,,
536,seis,six,six,,
537,tenga,avoir,have,,
538,cuarto,trimestre,quarter,,
539,cielo,ciel,sky,,
540,vivo,vivant,alive,,
541,recuerdo,Mémoire,memory,,
542,perdón,Pardon,sorry,,
543,falta,manquer de,lack,,
544,pequeña,peu,little,,
545,oído,oreille,ear,,
546,creer,croyez,believe,,
547,john,John,john,,
548,pienso,je pense,I think,,
549,ésta,est,is,,
550,esperar,attendre,wait,,
551,necesitas,vous avez besoin,you need,,
552,aqui,ici,here,,
553,película,film,movie,,
554,además,également,also,,
555,marido,mari,husband,,
556,perro,chien,dog,,
557,general,général,general,,
558,calle,rue,Street,,
559,exactamente,exactement,exactly,,
560,rey,Roi,king,,
561,padres,Parents,parents,,
562,lista,liste,list,,
563,habrá,Il y aura,there will be,,
564,habitación,pièce,room,,
565,carajo,Merde,fuck,,
566,pensando,en pensant,thinking,,
567,par,paire,pair,,
568,fuego,Feu,fire,,
569,niña,fille,girl,,
570,seguir,suivre,follow,,
571,música,la musique,music,,
572,di,a donné,gave,,
573,habría,il y aurait,there would be,,
574,mucha,beaucoup,a lot,,
575,paso,Il a passé,He passed,,
576,sentido,sens,sense,,
577,diré,je dirais,I will say,,
578,podrías,pouvez-vous,could you,,
579,afuera,à l'extérieur,outside,,
580,digas,vous dites,you say,,
581,ia,ia,ia,,
582,mía,mien,mine,,
583,murió,décédés,died,,
584,dio,ça a donné,it gave,,
585,café,café,coffee,,
586,entiendes,Tu comprends,You understand,,
587,nuestras,notre,our,,
588,piensa,pense,think,,
589,ello,il,it,,
590,lleva,porte,carries,,
591,estuvo,il était,he was,,
592,último,dernier,latest,,
593,diciendo,en disant,saying,,
594,grandes,gros,big,,
595,sitio,site,site,,
596,libro,livre,book,,
597,buscando,recherche,searching,,
598,bebé,bébé,baby,,
599,cállate,fermer,shut,,
600,vuelve,résultats,returns,,
601,jamás,Jamais,Never,,
602,minuto,minute,minute,,
603,arma,arme,weapon,,
604,viaje,Voyage,travel,,
605,única,seulement,only,,
606,muchachos,garçons,boys,,
607,perdido,perdu,lost,,
608,jugar,jouer,to play,,
609,diez,Dix,ten,,
610,vemos,nous voyons,we see,,
611,dado,dé,dice,,
612,sabemos,nous savons,we know,,
613,mil,mille,one thousand,,
614,demás,le reste,the rest,,
615,gusto,goût,taste,,
616,peor,pire,worst,,
617,irme,laisser,leave,,
618,jack,Jack,Jack,,
619,estaban,Ils étaient,They were,,
620,orden,ordre,order,,
621,pasando,Aller,going,,
622,cambio,changement,change,,
623,extraño,étrange,strange,,
624,pobre,pauvre,poor,,
625,ropa,Vêtements,clothing,,
626,queremos,nous voulons,we want,,
627,oficina,Bureau,office,,
628,sino,si non,if not,,
629,modo,mode,mode,,
630,ocurre,se produit,occurs,,
631,muchacho,garçon,boy,,
632,otras,autre,other,,
633,hará,volonté,will,,
634,libre,libre,free,,
635,conoces,tu sais,you know,,
636,piensas,tu penses,you think,,
637,presidente,Président,President,,
638,especial,spécial,special,,
639,anoche,hier soir,last night,,
640,millones,des millions,millions,,
641,acerca,sur,about,,
642,derecho,loi,law,,
643,negro,noir,black,,
644,acá,ici,here,,
645,caballeros,messieurs,gentlemen,,
646,semanas,semaines,weeks,,
647,palabras,mots,words,,
648,buscar,rechercher,search for,,
649,segura,sûr,safe,,
650,correcto,Droite,Right,,
651,frente,de face,front,,
652,hacemos,nous faisons,we make,,
653,seas,vous êtes,you are,,
654,detrás,derrière,behind,,
655,puesto,Cabine de marché,Market Stall,,
656,asunto,affaire,affair,,
657,duro,difficile,hard,,
658,sucede,arrive,happens,,
659,llamar,appeler,to call,,
660,disculpe,Pardon,sorry,,
661,boca,bouche,mouth,,
662,atención,Attention,Attention,,
663,mire,Regardez,Look,,
664,armas,armes,weapons,,
665,encima,plus de,over,,
666,demonios,obtenu sacrément,got damn,,
667,mala,mal,bad,,
668,llevar,porter,wear,,
669,cual,lequel,which,,
670,odio,haine,hate,,
671,hospital,hôpital,hospital,,
672,deben,devrait,should,,
673,sueño,rêver,dream,,
674,quieras,tu veux,you want,,
675,resto,du repos,rest,,
676,llamo,J'appelle,I call,,
677,perder,perdre,to lose,,
678,llamado,appelé,called,,
679,perfecto,parfait,perfect,,
680,estaré,je serai,I will be,,
681,tranquilo,silencieux,quiet,,
682,york,york,york,,
683,seguridad,Sécurité,security,,
684,ayudar,Aidez-moi,help,,
685,tuvo,Il avait,He had,,
686,largo,longue,long,,
687,pena,douleur,pain,,
688,probablemente,Probablement,probably,,
689,ayer,Hier,Yesterday,,
690,dile,dit lui,tell him,,
691,prueba,tester,test,,
692,siendo,étant,being,,
693,bonito,belle,beautiful,,
694,recuerdas,rappelles toi,remember,,
695,haz,faire,make,,
696,real,réal,real,,
697,veras,tu verras,you will see,,
698,increíble,incroyable,incredible,,
699,quisiera,J'aimerais,I would like,,
700,tonto,idiot,silly,,
701,simplemente,simplement,simply,,
